body-0,b,468,35,26501,19170,5724,1478
body-1,r,963,65,5706,28146,3281,6827
body-2,g,492,96,11943,4828,5436,2391
body-3,r,903,54,293,12383,7421,8716
body-4,b,896,48,21727,14772,1538,1869
body-5,g,668,100,17036,9895,8703,3811
body-6,b,334,74,4665,15142,7711,8253
body-7,g,548,45,32663,32758,37,2859
body-8,b,742,30,779,12317,3035,2190
body-9,r,289,7,9041,8943,9264,2648
body-10,b,806,91,6730,24371,5350,5006
body-11,r,394,49,19630,12624,4084,9954
body-12,r,841,67,7377,13932,6308,6944
body-13,r,627,24,5538,21539,6118,2082
body-14,r,542,34,31116,4640,9658,2704
body-15,r,978,7,31674,22387,5021,8745
body-16,b,73,71,5830,26778,5573,5097
body-17,r,987,91,9162,18637,2355,4767
body-18,r,575,32,12053,27351,1150,6941
body-19,g,967,31,31108,30192,8007,1337
body-20,g,288,54,10384,14946,8909,2209
body-21,b,222,89,6423,24947,7506,3030
body-22,r,169,1,32592,18763,1655,7410
body-23,b,625,38,21549,6484,7595,4041
body-24,b,351,92,30837,9375,1020,4596
body-25,r,349,100,19669,24485,8281,4734
body-26,b,1000,19,27939,6901,3788,8127
body-27,b,729,94,24649,22484,7807,2421
body-28,r,618,14,9515,14310,7616,8935
body-29,r,601,50,16520,31557,2798,303
body-30,b,9,45,32610,14990,2702,3195
body-31,g,94,44,30524,1588,9314,9503
body-32,b,201,59,6619,20581,9796,4798
body-33,b,590,99,28010,27158,472,3622
body-34,g,293,39,24180,18191,9657,7958
body-35,b,816,89,19157,11512,6202,2634
body-36,b,56,29,22647,26363,4886,8875
body-37,b,870,43,23845,1417,1881,1998
body-38,b,652,22,5700,3558,8476,7892
body-39,b,76,13,2601,2511,1003,6869
body-40,b,689,2,9790,15256,6423,5002
body-41,g,183,86,27089,31427,8617,3757
body-42,g,933,70,2155,25722,7189,9976
body-43,r,369,93,21426,10556,3434,6549
body-44,g,513,46,18061,21719,3753,6139
body-45,r,280,97,16688,12530,2549,7437
body-46,r,950,94,23196,3298,416,8286
body-47,g,489,83,12456,25735,8114,1701
body-48,b,672,87,12264,4314,4355,1185
body-49,g,913,9,1833,20946,4313,7756
body-50,g,559,47,27983,482,4144,3196
body-51,b,130,62,5536,20451,1173,466
body-52,b,660,93,26440,17254,24,6154
body-53,b,746,50,13187,8314,4474,8022
body-54,b,19,88,9906,17959,7391,202
body-55,g,478,15,9315,25825,9334,5874
body-56,r,160,34,28071,7488,8297,7518
body-57,b,774,71,1764,2669,7192,3985
body-58,r,481,14,7628,4803,4099,527
body-59,r,544,25,11024,29973,3061,4181
body-60,g,433,6,27594,22726,3031,8492
body-61,g,223,87,13065,7901,9187,8360
body-62,r,975,71,29171,236,833,9711
body-63,b,897,68,7286,12551,140,3694
body-64,g,625,20,2126,26577,1694,2658
body-65,g,372,67,4679,22594,3851,5484
body-66,g,465,20,23153,2801,8087,1060
body-67,r,11,58,32171,20316,9576,227
body-68,g,759,65,5110,7883,7086,9565
body-69,g,578,75,2626,25628,5629,1928
body-70,g,521,3,14963,124,4596,3737
body-71,g,196,26,1265,8261,6202,8116
body-72,b,327,12,30772,6412,5547,1153
body-73,g,791,25,30189,21764,4940,851
body-74,b,830,1,17714,18959,7578,8365
body-75,b,478,1,26059,6440,2303,2760
body-76,g,325,78,5109,21114,4887,9801
body-77,b,461,29,12994,27385,9405,6540
body-78,g,705,36,32357,6073,9350,8823
body-79,g,557,17,1627,9358,8526,3357
body-80,r,272,70,29362,12897,3022,9617
body-81,b,718,97,11586,24042,4423,4129
body-82,g,566,60,8933,22297,9855,2053
body-83,r,585,35,6655,16973,1457,4369
body-84,b,964,8,2484,912,1635,67
body-85,r,676,39,2224,22143,3754,6511
body-86,g,176,60,17826,3222,7870,1626
body-87,b,206,84,23851,17399,2279,2701
body-88,g,735,38,26535,5557,1993,176
body-89,g,963,49,15882,301,4413,6641
body-90,g,856,43,11463,27612,877,424
body-91,b,753,44,28297,12674,40,9313
body-92,b,73,19,611,1018,4932,8112
body-93,b,170,32,20041,26489,8685,9090
body-94,r,590,91,15146,19354,9314,8651
body-95,g,45,59,336,8760,1192,7605
body-96,g,182,4,3830,23776,608,9292
body-97,r,550,57,25562,31628,6467,9541
body-98,b,241,14,29175,20602,6077,215
body-99,g,214,93,25825,5602,3392,5759
