body-0,b,468,35,26501,19170,5724,1478
body-1,r,963,65,5706,28146,3281,6827
body-2,g,492,96,11943,4828,5436,2391
body-3,r,903,54,293,12383,7421,8716
body-4,b,896,48,21727,14772,1538,1869
body-5,g,668,100,17036,9895,8703,3811
body-6,b,334,74,4665,15142,7711,8253
body-7,g,548,45,32663,32758,37,2859
body-8,b,742,30,779,12317,3035,2190
body-9,r,289,7,9041,8943,9264,2648
body-10,b,806,91,6730,24371,5350,5006
body-11,r,394,49,19630,12624,4084,9954
body-12,r,841,67,7377,13932,6308,6944
body-13,r,627,24,5538,21539,6118,2082
body-14,r,542,34,31116,4640,9658,2704
body-15,r,978,7,31674,22387,5021,8745
body-16,b,73,71,5830,26778,5573,5097
body-17,r,987,91,9162,18637,2355,4767
body-18,r,575,32,12053,27351,1150,6941
body-19,g,967,31,31108,30192,8007,1337
body-20,g,288,54,10384,14946,8909,2209
body-21,b,222,89,6423,24947,7506,3030
body-22,r,169,1,32592,18763,1655,7410
body-23,b,625,38,21549,6484,7595,4041
body-24,b,351,92,30837,9375,1020,4596
body-25,r,349,100,19669,24485,8281,4734
body-26,b,1000,19,27939,6901,3788,8127
body-27,b,729,94,24649,22484,7807,2421
body-28,r,618,14,9515,14310,7616,8935
body-29,r,601,50,16520,31557,2798,303
body-30,b,9,45,32610,14990,2702,3195
body-31,g,94,44,30524,1588,9314,9503
body-32,b,201,59,6619,20581,9796,4798
body-33,b,590,99,28010,27158,472,3622
body-34,g,293,39,24180,18191,9657,7958
body-35,b,816,89,19157,11512,6202,2634
body-36,b,56,29,22647,26363,4886,8875
body-37,b,870,43,23845,1417,1881,1998
body-38,b,652,22,5700,3558,8476,7892
body-39,b,76,13,2601,2511,1003,6869
body-40,b,689,2,9790,15256,6423,5002
body-41,g,183,86,27089,31427,8617,3757
body-42,g,933,70,2155,25722,7189,9976
body-43,r,369,93,21426,10556,3434,6549
body-44,g,513,46,18061,21719,3753,6139
body-45,r,280,97,16688,12530,2549,7437
body-46,r,950,94,23196,3298,416,8286
body-47,g,489,83,12456,25735,8114,1701
body-48,b,672,87,12264,4314,4355,1185
body-49,g,913,9,1833,20946,4313,7756
body-50,g,559,47,27983,482,4144,3196
body-51,b,130,62,5536,20451,1173,466
body-52,b,660,93,26440,17254,24,6154
body-53,b,746,50,13187,8314,4474,8022
body-54,b,19,88,9906,17959,7391,202
body-55,g,478,15,9315,25825,9334,5874
body-56,r,160,34,28071,7488,8297,7518
body-57,b,774,71,1764,2669,7192,3985
body-58,r,481,14,7628,4803,4099,527
body-59,r,544,25,11024,29973,3061,4181
body-60,g,433,6,27594,22726,3031,8492
body-61,g,223,87,13065,7901,9187,8360
body-62,r,975,71,29171,236,833,9711
body-63,b,897,68,7286,12551,140,3694
body-64,g,625,20,2126,26577,1694,2658
body-65,g,372,67,4679,22594,3851,5484
body-66,g,465,20,23153,2801,8087,1060
body-67,r,11,58,32171,20316,9576,227
body-68,g,759,65,5110,7883,7086,9565
body-69,g,578,75,2626,25628,5629,1928
body-70,g,521,3,14963,124,4596,3737
body-71,g,196,26,1265,8261,6202,8116
body-72,b,327,12,30772,6412,5547,1153
body-73,g,791,25,30189,21764,4940,851
body-74,b,830,1,17714,18959,7578,8365
body-75,b,478,1,26059,6440,2303,2760
body-76,g,325,78,5109,21114,4887,9801
body-77,b,461,29,12994,27385,9405,6540
body-78,g,705,36,32357,6073,9350,8823
body-79,g,557,17,1627,9358,8526,3357
body-80,r,272,70,29362,12897,3022,9617
body-81,b,718,97,11586,24042,4423,4129
body-82,g,566,60,8933,22297,9855,2053
body-83,r,585,35,6655,16973,1457,4369
body-84,b,964,8,2484,912,1635,67
body-85,r,676,39,2224,22143,3754,6511
body-86,g,176,60,17826,3222,7870,1626
body-87,b,206,84,23851,17399,2279,2701
body-88,g,735,38,26535,5557,1993,176
body-89,g,963,49,15882,301,4413,6641
body-90,g,856,43,11463,27612,877,424
body-91,b,753,44,28297,12674,40,9313
body-92,b,73,19,611,1018,4932,8112
body-93,b,170,32,20041,26489,8685,9090
body-94,r,590,91,15146,19354,9314,8651
body-95,g,45,59,336,8760,1192,7605
body-96,g,182,4,3830,23776,608,9292
body-97,r,550,57,25562,31628,6467,9541
body-98,b,241,14,29175,20602,6077,215
body-99,g,214,93,25825,5602,3392,5759
body-100,r,429,28,4085,10076,8786,5498
body-101,g,288,48,32605,504,1221,2663
body-102,r,364,11,22172,27490,8240,2164
body-103,r,620,14,7592,6705,1818,9232
body-104,r,206,76,1540,304,1422,1098
body-105,r,585,49,2972,17865,2913,1075
body-106,b,713,47,18679,1770,5262,8519
body-107,b,290,45,2866,18541,3245,5508
body-108,g,871,2,28324,21133,4472,7152
body-109,g,571,64,29902,17104,4423,3527
body-110,b,970,16,5566,29,1543,5347
body-111,r,944,38,22410,26464,5049,4681
body-112,g,343,9,32061,21222,1758,9954
body-113,b,147,91,7950,12844,1430,5620
body-114,g,68,37,20784,18036,2226,5185
body-115,r,854,30,11225,15749,9923,3359
body-116,g,767,45,14956,23319,2726,5411
body-117,g,356,2,22550,9497,8584,9515
body-118,r,343,76,17914,16143,1196,1948
body-119,g,427,7,26174,24430,2404,6705
body-120,g,813,76,30094,16566,6036,4736
body-121,b,815,95,8257,6653,3936,838
body-122,g,356,16,1132,18231,7841,4625
body-123,g,638,87,19691,1651,5662,1634
body-124,r,354,17,13453,14009,7262,2233
body-125,r,304,35,26304,14257,148,1124
body-126,b,214,10,24029,29201,1080,1318
body-127,g,51,56,31362,15265,1903,3676
body-128,r,910,3,3562,28490,4948,1282
body-129,r,675,21,5403,6924,3831,9369
body-130,b,260,9,22620,23972,3,1945
body-131,g,505,93,32686,25314,6698,5589
body-132,b,939,38,6411,31462,6234,2508
body-133,g,960,94,1516,25270,4937,8869
body-134,g,701,72,26265,15118,6215,4555
body-135,r,331,40,30213,29289,8082,1954
body-136,b,711,85,24775,8381,9815,5951
body-137,g,116,80,17111,25899,3073,788
body-138,g,133,57,28690,26114,8,2941
body-139,g,724,64,29,25185,4778,7200
body-140,g,886,75,1072,11334,2867,6153
body-141,r,169,26,9677,15630,8650,2598
body-142,r,694,87,30081,10117,2249,6667
body-143,g,680,65,29422,8406,8826,6816
body-144,g,727,67,29088,27682,9964,1340
body-145,g,22,63,14722,6065,9309,415
body-146,g,874,25,23942,32746,1762,8423
body-147,r,807,69,9319,5603,1907,4307
body-148,r,13,37,26631,24115,6809,4084
body-149,r,291,94,29997,29153,1054,5345
body-150,b,249,92,13713,5132,114,6439
body-151,b,723,5,6996,1053,5269,7479
body-152,g,424,19,10867,17660,2498,8486
body-153,g,463,34,12159,12023,1146,8392
body-154,b,926,48,29459,6603,807,4098
body-155,b,293,1,7279,20800,8352,448
body-156,g,541,16,4576,8763,9567,2336
body-157,g,419,98,25829,13852,6816,4230
body-158,r,926,59,230,24521,940,9560
body-159,r,163,56,20676,793,2361,1754
body-160,r,147,15,26947,21189,9569,8638
body-161,r,76,16,11522,476,5615,528
body-162,g,571,6,9465,19558,8962,4161
body-163,b,550,70,331,31924,8350,4333
body-164,b,911,38,16337,18338,1278,2393
body-165,g,715,65,31592,19950,9135,2505
body-166,b,5,38,2624,28665,9970,5608
body-167,g,282,86,9153,18374,8652,8194
body-168,r,827,97,7573,6250,4640,9174
body-169,r,944,12,1942,20290,8419,5565
body-170,g,586,17,31451,1616,2609,1064
body-171,g,894,75,13510,30301,9695,9573
body-172,g,162,73,17969,27359,6031,6268
body-173,g,511,23,30775,8780,910,3552
body-174,r,392,96,5765,875,1364,4902
body-175,g,461,75,6973,26822,6122,5547
body-176,g,790,6,30196,27595,7950,6343
body-177,g,482,13,11673,23440,3428,5912
body-178,r,968,9,4416,1909,7223,1759
body-179,g,205,87,4320,959,5945,6806
body-180,r,701,68,17693,21788,8532,556
body-181,b,448,22,18284,26223,9331,2376
body-182,b,949,24,17983,22019,4776,9220
body-183,g,183,57,19491,8926,4324,6486
body-184,r,970,44,7535,15678,2668,1068
body-185,g,197,84,16829,7728,9426,5871
body-186,b,613,4,11028,11409,5545,9508
body-187,r,239,38,26444,21314,2501,8850
body-188,r,112,51,28150,11193,1454,5869
body-189,r,466,68,17714,19794,8634,5472
body-190,b,831,2,28443,5178,3877,5770
body-191,r,365,82,16591,8824,2237,8023
body-192,g,596,70,2328,12043,1310,8182
body-193,r,927,88,1671,32529,5651,2258
body-194,g,861,84,21287,2743,8610,4472
body-195,r,435,42,20719,3504,4867,4865
body-196,r,882,58,22751,28615,8598,8458
body-197,r,64,57,20808,20279,9489,9435
body-198,b,76,87,1387,7834,8360,3330
body-199,b,929,93,12434,23841,6766,1735
body-200,g,600,38,21893,31983,7328,9352
body-201,b,245,95,6609,9253,1647,7432
body-202,g,209,65,3498,23244,7649,2015
body-203,r,190,1,19813,30649,9523,9851
body-204,r,634,92,27201,19855,9990,5697
body-205,b,781,79,12932,32545,3340,3487
body-206,b,526,84,5539,7493,6193,8252
body-207,r,561,35,1841,31498,2785,8529
body-208,g,806,92,13393,13211,3549,1578
body-209,r,972,78,74,20194,1620,1497
body-210,b,277,91,6583,13579,1159,418
body-211,b,160,50,12925,9073,380,7008
body-212,g,209,78,18504,15371,2607,4196
body-213,b,723,12,19020,28762,1056,2890
body-214,b,684,17,19933,25453,2741,4954
body-215,r,863,97,15461,20616,904,2599
body-216,r,681,99,27033,14388,2584,7240
body-217,g,7,71,242,18883,5249,3523
body-218,r,106,22,17096,7297,9916,5678
body-219,b,580,59,27578,12751,4007,3729
body-220,r,996,79,24677,27754,899,1784
body-221,g,94,9,6173,11244,9929,7514
body-222,g,56,92,5974,8923,6748,5651
body-223,r,145,47,31578,26518,4629,9916
